feature,gain
qty_rolling_mean_7,797843141.4020042
qty_roll14,186768342.95415497
qty_rolling_std_7,77395832.5178318
city_encoded,67099687.15682793
order_day_of_week,51280775.018289566
qty_trend_14,27743603.961982727
days_since_pos_order,24920999.78212738
discount_percent_lag_1,23552292.20575714
revenue_rolling_mean_7,13574616.771196365
category_encoded,11937071.410236359
is_weekend,11077466.77589035
qty_lag_1,11066311.829444885
qty_cv_28,8667906.709888458
qty_lag_7,8350116.675848007
revenue_rolling_std_7,5381429.089466095
order_month,5237378.940986633
revenue_lag_1,4344313.730342865
temperature,3698014.038497925
revenue_lag_7,3374044.515850067
order_day,2999344.6437358856
humidity,2381921.3372745514
prev_spike_7,1592731.9578342438
order_year,1238314.2245292664
quarter,274824.17810821533
price_ratio_28,67348.91721343994
is_month_end,21588.36368560791
is_month_start,10816.555236816406
price_lag_1,0.0
is_promo_day,0.0
disc_pct,0.0
is_late,0.0
zero_share_28,0.0
zero_streak,0.0
inflation,0.0
on_hand_qty,0.0
days_of_supply,0.0
stockout_flag,0.0
backorder_qty,0.0
delivery_status_Shipping_on_time,0.0
delivery_status_Shipping_canceled,0.0
delivery_status_On-time_full,0.0
delivery_status_Late_or_partial,0.0
delivery_status_Late_delivery,0.0
country_USA,0.0
customer_type_Enterprise,0.0
channel_Retail,0.0
